keyword,uri,author,display_name,did,text,created_at,bio
JESUS,at://did:plc:ffwvamr44uffpkgsgy5zkazd/app.bsky.feed.post/3m6mm5yhwn224,tomflood.bsky.social,Tom Flood,did:plc:ffwvamr44uffpkgsgy5zkazd,What album had the biggest influence on you as a teenager.,2025-11-27T14:43:06.172Z,
JESUS,at://did:plc:fbvdnsy46aelww2sfjirceut/app.bsky.feed.post/3m6mm5twp6c2g,rensto.bsky.social,Rensto 🐻‍❄️ ➡️ BFF'26,did:plc:fbvdnsy46aelww2sfjirceut,jesus fucking christ i'm so disappointed,2025-11-27T14:43:01.414Z,
JESUS,at://did:plc:y744zncgrqeny3lhkzxzseuu/app.bsky.feed.post/3m6mm5duj322g,bethtoja.bsky.social,🩵💙🩵 Beth 🩵💙🩵,did:plc:y744zncgrqeny3lhkzxzseuu,"Isn’t it hideous?  Imagine how many people walk in there and under their breath just say, “Jesus.”",2025-11-27T14:42:44.565Z,
JESUS,at://did:plc:z3gbjgnsfhwxb2d4dz3jr2dj/app.bsky.feed.post/3m6mm4fcxt22z,murphmama.bsky.social,,did:plc:z3gbjgnsfhwxb2d4dz3jr2dj,"Things I told my kids:
1. Mama loves you no matter what
2. Columbus didn't discover shit
3. State tests are testing the teachers, not you, so fuck it
4. Santa, the Tooth Fairy, and our family leprechauns are as true and real as you and me
5. Jesus was probably a pretty cool dude
✌️",2025-11-27T14:42:12.533Z,
JESUS,at://did:plc:iw7f7zll6xwb4ulmzjhgnrzg/app.bsky.feed.post/3m6mm4c4b4j2i,mobiquotes.bsky.social,MobiQuotes,did:plc:iw7f7zll6xwb4ulmzjhgnrzg,Jesus taught that there is an eternal destiny for each individual—either heaven or hell (John 5:25–29). The eternal destiny of each individual depends on a decision made in this life (Luke 16:19–31)—to be followed by a life of obedience.,2025-11-27T14:42:08.783294+00:00,
JESUS,at://did:plc:5fjr3vuu7ssfmyfqgixcfoyv/app.bsky.feed.post/3m6mm4btdla2p,greendaylyrics.bsky.social,Green Day Lyric Bot,did:plc:5fjr3vuu7ssfmyfqgixcfoyv,The Jesus of Suburbia is a lie ,2025-11-27T14:42:03.45315300Z,
JESUS,at://did:plc:6fv5kftk2u7dtwzowg45xyzn/app.bsky.feed.post/3m6mm3yivqs22,grantmusic-pdx.bsky.social,Grant Cummins music spectrum,did:plc:6fv5kftk2u7dtwzowg45xyzn,Finding new cool friends daily. Now. Thank you Jesus,2025-11-27T14:41:59.096Z,
JESUS,at://did:plc:zfyydn5bywcndmhg3bphjspp/app.bsky.feed.post/3m6mm3tjwtk2s,x92.bsky.social,X92🔞💖💜💙🏳️‍🌈,did:plc:zfyydn5bywcndmhg3bphjspp,...starting to think christian dude bros cant recognize actual religious themes if stereotypical white jesus isn't included...,2025-11-27T14:41:53.828Z,
JESUS,at://did:plc:jdr4ii3cmh5hzwyxabee5vbv/app.bsky.feed.post/3m6mm34ouck2w,bd-nola.bsky.social,,did:plc:jdr4ii3cmh5hzwyxabee5vbv,I’m not Christian but I feel I know Jesus better than the Johnsons do. The most interesting but not shocking thing from this lame article (that I just wasted my time reading) is that Stephen Miller only eats mayonnaise (literally?).,2025-11-27T14:41:29.931Z,
JESUS,at://did:plc:wiq2rhv6fljas76q4bpniqur/app.bsky.feed.post/3m6mm2tw4vs24,paularead.bsky.social,Paula Read,did:plc:wiq2rhv6fljas76q4bpniqur,"""Mr. Johnson’s dream dinner party was revealed to be eating salmon with Jesus, George Washington and Abraham Lincoln.

But when would he possibly have the time?""

I just - this whole thing - I can't. 
www.nytimes.com/2025/11/26/u...",2025-11-27T14:41:20.731Z,
